csv_row,product_id,price_id,mofu_sku,product_name,csv_cost_cny,csv_proposed_hkd,status,current_live_hkd,issue,csv_target_cents
69,prod_V8vrSwyPdcre4F,price_1U8e04RyM6dRKLtZkoQSmpqZ,MH-CAT-SNR-002,AIM30 貓咪雞肉絲 25g｜AIM30 Cat Shredded Chicken Fillet 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
70,prod_V8vrvYaxZ1cxLJ,price_1U8e0DRyM6dRKLtZ7D7Iai7O,MH-CAT-SNR-003,AIM30 Karitto Treats 酥脆貓咪零食 雞肉及蟹肉味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 雞肉及蟹肉味 25g,23.8,50.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
71,prod_V8vrBdjzLlg7F7,price_1U8e0FRyM6dRKLtZE4JPj5uL,MH-CAT-SNR-004,AIM30 Karitto Treats 酥脆貓咪零食 雞肉及牛肉味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 雞肉及牛肉味 25g,23.8,50.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
72,prod_V8vsqALfCDaZlZ,price_1U8e0IRyM6dRKLtZYfKTJ5RW,MH-CAT-SNR-005,AIM30 Karitto Treats 酥脆貓咪零食 牧場美味四種綜合包 80g｜AIM30 Karitto Treats 酥脆貓咪零食 牧場美味四種綜合包 80g,56.0,119.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
73,prod_V8vs7g4SLaJWJ3,price_1U8e0LRyM6dRKLtZDV8NlhJy,MH-CAT-SNR-006,AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及雞肉雙拼綜合包 80g｜AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及雞肉雙拼綜合包 80g,56.0,119.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
74,prod_V8vsohIxXgEVDb,price_1U8e0NRyM6dRKLtZOs14Trkd,MH-CAT-SNR-007,AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及三文魚味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 吞拿魚及三文魚味 25g,56.0,119.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
75,prod_V8vrxdYkx6Hq9O,price_1U8dzrRyM6dRKLtZSyj8L3go,MH-CAT-SNR-008,AIM30 Karitto Treats 酥脆貓咪零食 綜合營養吞拿魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Balanced Nutrition Tuna 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
76,prod_V8vrVGdqH472WR,price_1U8dzYRyM6dRKLtZ80e1VIfP,MH-CAT-SNR-009,AIM30 Karitto Treats 酥脆貓咪零食 牛肉味 25g｜AIM30 Karitto Treats Crispy Cat Treats Beef Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
77,prod_V8vrCIoYlfznHf,price_1U8dzgRyM6dRKLtZTCmIF0v5,MH-CAT-SNR-010,AIM30 Karitto Treats 酥脆貓咪零食 鰹魚味 25g｜AIM30 Karitto Treats Crispy Cat Treats Bonito Flavour 25g,19.8,42.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
78,prod_V8vrEO4eoZSj2o,price_1U8dzVRyM6dRKLtZNWWJarJn,MH-CAT-SNR-011,AIM30 Karitto Treats 酥脆貓咪零食 芝士味 25g｜AIM30 Karitto Treats Crispy Cat Treats Cheese Flavour 25g,14.4,30.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
