product_id,product_name,mofu_sku,price_id,is_default,variant_label_zh,retail_hkd,cost_cny,cost_source,cost_hkd_at_rate,gross_profit_hkd,gross_margin_pct
prod_V8lA3QuLuCwOig,COMBO Pure 魚肉米狗狗乾糧 540g｜COMBO Pure Fish & Rice Dry Dog Food 540g,MH-DOG-COMBO-012,price_1U90TcRyM6dRKLtZqUcntXTV,True,540g,178.9,87.0000,price_metadata,101.48,77.42,43.28
prod_V8lAaOLN6jDE2s,COMBO Pure 凍乾配料日本產雞肉蔬菜狗狗乾糧 540g｜COMBO Pure Freeze-Dried Topping Japanese Chicken & Vegetable Dry Dog Food 540g,MH-DOG-COMBO-011,price_1U90TpRyM6dRKLtZPEBmnzI5,True,540g,178.9,87.0000,price_metadata,101.48,77.42,43.28
prod_V8lAGBIlndcl9U,COMBO Pure 低脂日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Low-Fat Japanese Chicken & Vegetable Dry Dog Food 600g,MH-DOG-COMBO-010,price_1U90TjRyM6dRKLtZ6SUOdjvj,True,600g,178.9,87.0000,price_metadata,101.48,77.42,43.28
prod_V8lArvqiVc3AMr,COMBO Pure 超小粒日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Extra-Small Kibble Japanese Chicken & Vegetable Dry Dog Food 600g,MH-DOG-COMBO-009,price_1U90TsRyM6dRKLtZioR1zXXj,True,600g（300g×2）,178.9,87.0000,price_metadata,101.48,77.42,43.28
prod_V8lA3mO6fUVnGr,COMBO Pure 嚴選芝士日本產雞肉狗狗乾糧 600g｜COMBO Pure Selected Cheese & Japanese Chicken Dry Dog Food 600g,MH-DOG-COMBO-008,price_1U90TdRyM6dRKLtZwHed2NNy,True,600g,178.9,87.0000,price_metadata,101.48,77.42,43.28
prod_V8lAFkM1R1Q06Q,COMBO Pure 蔬菜嚴選芝士狗狗乾糧 600g｜COMBO Pure Vegetable & Selected Cheese Dry Dog Food 600g,MH-DOG-COMBO-007,price_1U90TiRyM6dRKLtZXvCDc0kQ,True,600g（300g×2）,178.9,87.0000,price_metadata,101.48,77.42,43.28
prod_V8lA8TrpHKZ0AE,COMBO Pure 日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Japanese Chicken & Vegetable Dry Dog Food 600g,MH-DOG-COMBO-006,price_1U90ThRyM6dRKLtZse2oFhSo,True,600g,178.9,87.0000,price_metadata,101.48,77.42,43.28
prod_V8kNg5nRdCoND1,COMBO 低脂 7歲以上狗狗乾糧 720g｜COMBO Low-Fat Senior Dry Dog Food 720g,MH-DOG-COMBO-017,price_1U90TbRyM6dRKLtZygTCmy0F,True,720g（4 小包裝；7 歲以上）,234.9,114.0000,price_metadata,132.97,101.93,43.39
prod_V8kNXGrzdUVGWS,COMBO 低脂小魚乾雞肉狗狗乾糧 720g｜COMBO Low-Fat Dried Small Fish & Chicken Dry Dog Food 720g,MH-DOG-COMBO-016,price_1U90TaRyM6dRKLtZWuVaHBFp,True,720g（4 小包裝）,234.9,114.0000,price_metadata,132.97,101.93,43.39
prod_V8kNDRrV7QQWc8,COMBO 捲心菜牛肉狗狗乾糧 720g｜COMBO Cabbage & Beef Dry Dog Food 720g,MH-DOG-COMBO-013,price_1U90TYRyM6dRKLtZdZNpfM38,True,720g（4 小包裝）,234.9,114.0000,price_metadata,132.97,101.93,43.39
prod_V8kNDHKt8kCFkT,COMBO 馬蘇里拉芝士角切狗狗乾糧 720g｜COMBO Mozzarella Cheese Cubes Dry Dog Food 720g,MH-DOG-COMBO-015,price_1U90TXRyM6dRKLtZARGBBySv,True,720g（4 小包裝）,234.9,114.0000,price_metadata,132.97,101.93,43.39
