mofu_sku,brand,product_id,price_id,product_name,variant_label_zh,current_hkd,formula_fx_cny_to_hkd,formula_retail_multiplier,implied_cost_cny_baseline,forward_formula_hkd_at_same_fx,price_change_hkd_at_same_fx,data_classification,must_not_write_as,write_action
MH-CAT-MCK-001,Mamacook,prod_V8W0oLt83VbMEB,price_1U8VgvRyM6dRKLtZh8vgbQgO,三文魚 17g (預定),單一規格,106.90,1.166,1.76,52.09145485,106.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-002,Mamacook,prod_V8W0n6wDbyKpya,price_1U8VgxRyM6dRKLtZMYRg7EId,圓粒雞里脊 18g (現貨 / 賞味 28.01),單一規格,64.90,1.166,1.76,31.62521440,64.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-003,Mamacook,prod_V8W0BWVdW0bKlr,price_1U8VgzRyM6dRKLtZMgGqC4Ob,扇貝 11g (現貨 / 27.01.15),單一規格,78.90,1.166,1.76,38.44729455,78.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-004,Mamacook,prod_V8W0eQFDHSCPxC,price_1U8VhERyM6dRKLtZRJUYIode,牛大腿肉 17g (現貨 / 2027.12.01),單一規格,82.90,1.166,1.76,40.39646031,82.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-005,Mamacook,prod_V8W0xHzc6tqf3B,price_1U8VhORyM6dRKLtZaHHmw4vx,胡瓜魚凍干 10g (預定),單一規格,80.90,1.166,1.76,39.42187743,80.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-006,Mamacook,prod_V8W0fChA9h4VNq,price_1U8VhQRyM6dRKLtZcmZ9StPG,虹鱒魚 15g (現貨 / 賞味 27.5),單一規格,80.90,1.166,1.76,39.42187743,80.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-007,Mamacook,prod_V8W0DDhtV271xl,price_1U8VhSRyM6dRKLtZMdg6lgBN,豬大腿肉 20g (預定),單一規格,73.90,1.166,1.76,36.01083736,73.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-008,Mamacook,prod_V8W0LKmYo2bfxf,price_1U8VhTRyM6dRKLtZCXZk7rs1,豬心 25g (預定 (缺貨)),單一規格,75.90,1.166,1.76,36.98542024,75.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-009,Mamacook,prod_V8W0mdB77ZJc5M,price_1U8VhVRyM6dRKLtZ2SNCvfDD,金槍魚 14g (預定),單一規格,80.90,1.166,1.76,39.42187743,80.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-010,Mamacook,prod_V8W073h3MHqGhr,price_1U8VhXRyM6dRKLtZpnl8JDZN,銀魚 10g (預定),單一規格,78.90,1.166,1.76,38.44729455,78.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-011,Mamacook,prod_V8VzG9Cs8B2Rjb,price_1U8VhhRyM6dRKLtZreAjaaqG,雞胸肉 150g (現貨 / 賞味 27.10),單一規格,262.90,1.166,1.76,128.10891938,262.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-012,Mamacook,prod_V8VzTooOH64y65,price_1U8VhiRyM6dRKLtZcE0BERx5,雞胸肉 30g (現貨 / 賞味 28.01),單一規格,77.90,1.166,1.76,37.96000311,77.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-013,Mamacook,prod_V8W07sgetW5UqK,price_1U8VhkRyM6dRKLtZzV6cvj1O,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),單一規格,75.90,1.166,1.76,36.98542024,75.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-014,Mamacook,prod_V8W0oMeIOyFLhp,price_1U8Ey0RyM6dRKLtZea02ekZN,雞胸肉雞肝凍干 120g (現貨 / 27.07),單一規格,250.90,1.166,1.76,122.26142211,250.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-015,Mamacook,prod_V8VzYLI6mgAR3P,price_1U8VhmRyM6dRKLtZQLMUjgZb,雞胸肉雞肝凍干 18g (預定),單一規格,62.90,1.166,1.76,30.65063152,62.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-016,Mamacook,prod_V8W06fowHsMOSF,price_1U8Ey3RyM6dRKLtZ4nscQPyL,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),單一規格,250.90,1.166,1.76,122.26142211,250.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-017,Mamacook,prod_V8W072ieTWyOZ7,price_1U8VhoRyM6dRKLtZEPUbvHtX,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),單一規格,62.90,1.166,1.76,30.65063152,62.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-018,Mamacook,prod_V8Vz4r6kx51OK2,price_1U8VhrRyM6dRKLtZCmbpVwO6,雞里脊 150g (現貨 / 2027.11.30),單一規格,262.90,1.166,1.76,128.10891938,262.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-019,Mamacook,prod_V8VzICRXhFqVtH,price_1U8VhsRyM6dRKLtZxrrjuIFL,雞里脊 30g (預定),單一規格,77.90,1.166,1.76,37.96000311,77.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-MCK-020,Mamacook,prod_V8W0OgEY0HBtlD,price_1U8VhuRyM6dRKLtZgTSXTyfh,雞里脊碎沫凍干粉拌飯 (預定),單一規格,90.90,1.166,1.76,44.29479182,90.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-MCK-001,Mamacook,prod_V8W0gp0Oink4Cg,price_1U8VhpRyM6dRKLtZBDNjC1P3,雞里脊 150g (犬用) (現貨 / 2027.11.11),單一規格,257.90,1.166,1.76,125.67246218,257.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-001,ONE CARE,prod_V8Zo9dzijaQ39p,price_1U8VhFRyM6dRKLtZwbD6Db3k,牛肉口味罐頭（Beef）,5罐裝,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-001,ONE CARE,prod_V8Zo9dzijaQ39p,price_1U8VhHRyM6dRKLtZz2uFya7W,牛肉口味罐頭（Beef）,15罐裝,98.90,1.166,1.76,48.19312334,98.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-001,ONE CARE,prod_V8Zo9dzijaQ39p,price_1U8VhIRyM6dRKLtZM1d1iDY5,牛肉口味罐頭（Beef）,30罐裝,188.90,1.166,1.76,92.04935287,188.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-002,ONE CARE,prod_V8ZodBXbffvz6o,price_1U8VhdRyM6dRKLtZcp5X8ifb,雞肝口味罐頭（Chicken Liver）,5罐裝,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-002,ONE CARE,prod_V8ZodBXbffvz6o,price_1U8VheRyM6dRKLtZFEetoprF,雞肝口味罐頭（Chicken Liver）,15罐裝,98.90,1.166,1.76,48.19312334,98.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-002,ONE CARE,prod_V8ZodBXbffvz6o,price_1U8VhgRyM6dRKLtZXSGwxJUo,雞肝口味罐頭（Chicken Liver）,30罐裝,188.90,1.166,1.76,92.04935287,188.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-003,ONE CARE,prod_V8ZpDXl9RWMDbc,price_1U8VhYRyM6dRKLtZGsnu90Cl,雞肉口味罐頭（Chicken）,5罐裝,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-003,ONE CARE,prod_V8ZpDXl9RWMDbc,price_1U8VhaRyM6dRKLtZDuPhfSTS,雞肉口味罐頭（Chicken）,15罐裝,98.90,1.166,1.76,48.19312334,98.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-003,ONE CARE,prod_V8ZpDXl9RWMDbc,price_1U8VhbRyM6dRKLtZwAu2ieZo,雞肉口味罐頭（Chicken）,30罐裝,188.90,1.166,1.76,92.04935287,188.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-004,ONE CARE,prod_V8ZoNtJinLFNNG,price_1U8Vh1RyM6dRKLtZ2pb9imkA,新款 2個口味拼罐頭（New 2-Flavor Mix）,5罐裝,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-004,ONE CARE,prod_V8ZoNtJinLFNNG,price_1U8Vh2RyM6dRKLtZ0lZlFrKf,新款 2個口味拼罐頭（New 2-Flavor Mix）,15罐裝,108.90,1.166,1.76,53.06603773,108.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-004,ONE CARE,prod_V8ZoNtJinLFNNG,price_1U8Vh4RyM6dRKLtZAatzUjjE,新款 2個口味拼罐頭（New 2-Flavor Mix）,30罐裝,198.90,1.166,1.76,96.92226726,198.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-005,ONE CARE,prod_V8ZoJ2fwrBOiHL,price_1U8Vh5RyM6dRKLtZbYoXHN33,新款牛肉米飯罐頭（New Beef & Rice）,5罐裝,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-005,ONE CARE,prod_V8ZoJ2fwrBOiHL,price_1U8Vh7RyM6dRKLtZJXZ94rLD,新款牛肉米飯罐頭（New Beef & Rice）,15罐裝,98.90,1.166,1.76,48.19312334,98.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-005,ONE CARE,prod_V8ZoJ2fwrBOiHL,price_1U8Vh8RyM6dRKLtZHSPJQw7B,新款牛肉米飯罐頭（New Beef & Rice）,30罐裝,188.90,1.166,1.76,92.04935287,188.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-006,ONE CARE,prod_V8ZorEO6daplRl,price_1U8VhARyM6dRKLtZCksW5NjG,新款牛肉蔬菜罐頭（New Beef & Vegetables）,5罐裝,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-006,ONE CARE,prod_V8ZorEO6daplRl,price_1U8VhBRyM6dRKLtZULSmUBud,新款牛肉蔬菜罐頭（New Beef & Vegetables）,15罐裝,98.90,1.166,1.76,48.19312334,98.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-006,ONE CARE,prod_V8ZorEO6daplRl,price_1U8VhCRyM6dRKLtZbmo2rOZf,新款牛肉蔬菜罐頭（New Beef & Vegetables）,30罐裝,188.90,1.166,1.76,92.04935287,188.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-IRIS-007,ONE CARE,prod_V8ZpWi2bc00Aty,price_1U8VhKRyM6dRKLtZ1BP6Yc7u,白身魚口味罐頭（White Fish）,5罐裝,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
