csv_row,product_id,source_csv_price_id,current_active_price_id,mofu_sku,product_name,cost_cny,proposed_hkd,csv_target_cents,current_live_hkd,mapping_status,mapping_basis,issue
48,prod_V8thk9qKECj0in,price_1U8bu0RyM6dRKLtZKGEvnAcj,price_1U90UGRyM6dRKLtZs4CWYdMK,MH-CAT-GNSP-024,"銀之匙 三ツ星グルメ 鮮旨香 金槍魚鯛魚鰹魚乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Tuna, Sea Bream & Bonito Dry Cat Food 192g",46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
49,prod_V8thPo6RjbpnwO,price_1U8bu3RyM6dRKLtZLjAK97QM,price_1U90UCRyM6dRKLtZnxOW8Xb7,MH-CAT-GNSP-025,銀之匙 三ツ星グルメ 餐後吐毛輕減及毛球護理魚味乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Fish Recipe Dry Cat Food for Reduced Post-Meal Vomiting & Hairball Care 192g,46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
50,prod_V8xXn4fyGQ2Iwg,price_1U8fcPRyM6dRKLtZkmzKQFaa,price_1U90VFRyM6dRKLtZjOr4bhLh,MH-CAT-MONP-001,Mon Petit Crispy Kiss 鰹魚及小魚高湯味貓咪小食 30g｜Mon Petit Crispy Kiss Bonito and Small Fish Broth Cat Treats 30g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
51,prod_V8xXSx8MWb3Y8D,price_1U8fcGRyM6dRKLtZbNYK0jlM,price_1U90V7RyM6dRKLtZT1JURFbi,MH-CAT-MONP-002,Mon Petit Crispy Kiss 芝士及雞肉味貓咪小食 30g｜Mon Petit Crispy Kiss Cheese and Chicken Flavour Cat Treats 30g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
52,prod_V8xXLMbKeB2tb9,price_1U8fcDRyM6dRKLtZDd0FVQMW,price_1U90V2RyM6dRKLtZ55juiHBJ,MH-CAT-MONP-003,Mon Petit Crispy Kiss 鮮魚雞肉貓薄荷味貓咪小食 24g｜Mon Petit Crispy Kiss Fish and Chicken with Catnip Cat Treats 24g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
53,prod_V8xXYKr9wN7Aee,price_1U8fcJRyM6dRKLtZd8RKpg9m,price_1U90VBRyM6dRKLtZlGUxjIZD,MH-CAT-MONP-004,Mon Petit Crispy Kiss 鮮魚精選貓咪小食 30g｜Mon Petit Crispy Kiss Fish Select Cat Treats 30g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
54,prod_V8xX5m49XGPiSw,price_1U8fcFRyM6dRKLtZeD9cGjwS,price_1U90UyRyM6dRKLtZGcFJLD54,MH-CAT-MONP-005,Mon Petit Crispy Kiss 奢華雞肉味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Chicken Flavour Cat Treats 24g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
55,prod_V8xXBfCtwPwxjK,price_1U8fcERyM6dRKLtZ463dtKpL,price_1U90UzRyM6dRKLtZu93gYJdU,MH-CAT-MONP-006,Mon Petit Crispy Kiss 奢華鮮魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Fish Flavour Cat Treats 24g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
56,prod_V8xXV7x4AmWu89,price_1U8fcRRyM6dRKLtZMvlsOquW,price_1U90VARyM6dRKLtZIMiTPMeC,MH-CAT-MONP-007,Mon Petit Crispy Kiss 奢華三文魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Salmon Flavour Cat Treats 24g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
57,prod_V8xXRC7As2ra5W,price_1U8fcHRyM6dRKLtZ0WA7KbpT,price_1U90V6RyM6dRKLtZDgD1rY6E,MH-CAT-MONP-008,Mon Petit Crispy Kiss 肉類精選綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Meat Selection Variety Pack Cat Treats 144g,59.9,127.9,12790,123.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
58,prod_V8xXMB8UApWAYP,price_1U8fcQRyM6dRKLtZAt0dJH05,price_1U90V4RyM6dRKLtZiEGy9NiO,MH-CAT-MONP-009,"Mon Petit Crispy Kiss 三文魚、鰹魚及小魚味貓咪小食 30g｜Mon Petit Crispy Kiss Salmon, Bonito and Small Fish Cat Treats 30g",13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
59,prod_V8xXmrlDUto85d,price_1U8fcKRyM6dRKLtZsJdoHEu4,price_1U90VERyM6dRKLtZvWBCXYd9,MH-CAT-MONP-010,Mon Petit Crispy Kiss 海鮮味貓咪小食 30g｜Mon Petit Crispy Kiss Seafood Flavour Cat Treats 30g,13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
60,prod_V8xX3586zZhcZt,price_1U8fcMRyM6dRKLtZa6kX1FcS,price_1U90UxRyM6dRKLtZNd9wbSzb,MH-CAT-MONP-011,"Mon Petit Crispy Kiss 海鮮、芝士及雞肉燒烤味綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Seafood, Cheese and Chicken Grill Variety Pack Cat Treats 144g",59.9,127.9,12790,123.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
61,prod_V8xXFw4xx3NEuP,price_1U8fcIRyM6dRKLtZhierJFH2,price_1U90V0RyM6dRKLtZBnbfEKOe,MH-CAT-MONP-012,Mon Petit Crispy Kiss 海鮮及雞肉綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Seafood and Chicken Variety Pack Cat Treats 144g,59.9,127.9,12790,123.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
62,prod_V8xXZsF0TMS5c8,price_1U8fcORyM6dRKLtZ1yMnnhEK,price_1U90VCRyM6dRKLtZDkJrWAvy,MH-CAT-MONP-013,"Mon Petit Crispy Kiss 真鯛、鰹魚及小魚高湯味貓咪小食 30g｜Mon Petit Crispy Kiss Snapper, Skipjack Tuna and Small Fish Broth Cat Treats 30g",13.9,29.9,2990,28.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
63,prod_V8xXM2ONlpEcC3,price_1U8fcNRyM6dRKLtZWtmFsbjT,price_1U90V3RyM6dRKLtZx0YL7SgA,MH-CAT-MONP-014,Mon Petit Crispy Kiss 真鯛及海鮮綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Snapper and Seafood Assortment Cat Treats 144g,59.9,127.9,12790,123.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
64,prod_V8uInkIOBbpTsp,price_1U8cU6RyM6dRKLtZIwFymbls,price_1U90UTRyM6dRKLtZG5Yi17iE,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,90.0,191.9,19190,184.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
65,prod_V8uInkIOBbpTsp,price_1U8cU6RyM6dRKLtZuYsvr2FS,price_1U90UTRyM6dRKLtZ7w2uTrRN,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,46.0,97.9,9790,94.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
66,prod_V8uInkIOBbpTsp,price_1U8cU7RyM6dRKLtZu7s2FINt,price_1U90UURyM6dRKLtZVrbGJPun,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,223.0,473.9,47390,457.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
67,prod_V8uIPfhAKY5ONF,price_1U8cU9RyM6dRKLtZnyUTF5xl,price_1U90UPRyM6dRKLtZMHm0POgc,MH-CAT-SNP-001,SNAPPY 低粉塵膨潤土貓砂 原味無香 7L｜SNAPPY Low-Dust Bentonite Cat Litter Unscented 7L,45.45,96.9,9690,93.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
68,prod_V8vriJ8BqO90r3,price_1U8e01RyM6dRKLtZOgbpOPvb,price_1U90UnRyM6dRKLtZ9jd0Ick5,MH-CAT-SNR-001,AIM30 貓咪鰹魚削節 12g｜AIM30 Cat Bonito Flakes 12g,19.8,42.9,4290,40.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
69,prod_V8vrSwyPdcre4F,price_1U8e04RyM6dRKLtZkoQSmpqZ,price_1U90UjRyM6dRKLtZUcWxvibc,MH-CAT-SNR-002,AIM30 貓咪雞肉絲 25g｜AIM30 Cat Shredded Chicken Fillet 25g,14.4,30.9,3090,29.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
70,prod_V8vrvYaxZ1cxLJ,price_1U8e0DRyM6dRKLtZ7D7Iai7O,price_1U90UsRyM6dRKLtZK9gSfkYR,MH-CAT-SNR-003,AIM30 Karitto Treats 酥脆貓咪零食 雞肉及蟹肉味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 雞肉及蟹肉味 25g,23.8,50.9,5090,48.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
71,prod_V8vrBdjzLlg7F7,price_1U8e0FRyM6dRKLtZE4JPj5uL,price_1U90UeRyM6dRKLtZbZKrb0kY,MH-CAT-SNR-004,AIM30 Karitto Treats 酥脆貓咪零食 雞肉及牛肉味 25g｜AIM30 Karitto Treats 酥脆貓咪零食 雞肉及牛肉味 25g,23.8,50.9,5090,48.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
